cohort,feature,rows,present_rows,coverage,first_seen
censored_extension,acc_now_delinq,88227,88227,1.0,2017-07-01
conformal_fit,acc_now_delinq,49007,49007,1.0,2012-01-01
maturity_gap,acc_now_delinq,541863,541863,1.0,2014-01-01
pd_development,acc_now_delinq,17433,17404,0.9983364882693742,2007-06-01
policy_development,acc_now_delinq,94885,94885,1.0,2013-02-01
post_extension,acc_now_delinq,877671,877671,1.0,2017-10-01
primary_oot,acc_now_delinq,376890,376890,1.0,2016-04-01
probability_calibration,acc_now_delinq,14101,14101,1.0,2011-01-01
censored_extension,acc_open_past_24mths,88227,88227,1.0,2017-07-01
conformal_fit,acc_open_past_24mths,49007,42982,0.8770583794151856,2012-03-01
maturity_gap,acc_open_past_24mths,541863,541863,1.0,2014-01-01
pd_development,acc_open_past_24mths,17433,0,0.0,
policy_development,acc_open_past_24mths,94885,94885,1.0,2013-02-01
post_extension,acc_open_past_24mths,877671,877671,1.0,2017-10-01
primary_oot,acc_open_past_24mths,376890,376890,1.0,2016-04-01
probability_calibration,acc_open_past_24mths,14101,0,0.0,
censored_extension,addr_state,88227,88227,1.0,2017-07-01
conformal_fit,addr_state,49007,49007,1.0,2012-01-01
maturity_gap,addr_state,541863,541863,1.0,2014-01-01
pd_development,addr_state,17433,17433,1.0,2007-06-01
policy_development,addr_state,94885,94885,1.0,2013-02-01
post_extension,addr_state,877671,877671,1.0,2017-10-01
primary_oot,addr_state,376890,376890,1.0,2016-04-01
probability_calibration,addr_state,14101,14101,1.0,2011-01-01
censored_extension,all_util,88227,88214,0.9998526528160314,2017-07-01
conformal_fit,all_util,49007,0,0.0,
maturity_gap,all_util,541863,111006,0.20485990001162654,2015-12-01
pd_development,all_util,17433,0,0.0,
policy_development,all_util,94885,0,0.0,
post_extension,all_util,877671,877456,0.9997550334920489,2017-10-01
primary_oot,all_util,376890,376867,0.9999389742365147,2016-04-01
probability_calibration,all_util,14101,0,0.0,
censored_extension,annual_inc,88227,88227,1.0,2017-07-01
conformal_fit,annual_inc,49007,49007,1.0,2012-01-01
maturity_gap,annual_inc,541863,541863,1.0,2014-01-01
pd_development,annual_inc,17433,17429,0.9997705501061206,2007-06-01
policy_development,annual_inc,94885,94885,1.0,2013-02-01
post_extension,annual_inc,877671,877671,1.0,2017-10-01
primary_oot,annual_inc,376890,376890,1.0,2016-04-01
probability_calibration,annual_inc,14101,14101,1.0,2011-01-01
censored_extension,annual_inc_joint,88227,7699,0.08726353610572728,2017-07-01
conformal_fit,annual_inc_joint,49007,0,0.0,
maturity_gap,annual_inc_joint,541863,1767,0.0032609718692732294,2015-10-01
pd_development,annual_inc_joint,17433,0,0.0,
policy_development,annual_inc_joint,94885,0,0.0,
post_extension,annual_inc_joint,877671,99855,0.1137727007044781,2017-10-01
primary_oot,annual_inc_joint,376890,10047,0.02665764546684709,2016-04-01
probability_calibration,annual_inc_joint,14101,0,0.0,
censored_extension,application_type,88227,88227,1.0,2017-07-01
conformal_fit,application_type,49007,49007,1.0,2012-01-01
maturity_gap,application_type,541863,541863,1.0,2014-01-01
pd_development,application_type,17433,17433,1.0,2007-06-01
policy_development,application_type,94885,94885,1.0,2013-02-01
post_extension,application_type,877671,877671,1.0,2017-10-01
primary_oot,application_type,376890,376890,1.0,2016-04-01
probability_calibration,application_type,14101,14101,1.0,2011-01-01
censored_extension,avg_cur_bal,88227,88223,0.9999546624049327,2017-07-01
conformal_fit,avg_cur_bal,49007,26456,0.5398412471687718,2012-08-01
maturity_gap,avg_cur_bal,541863,541858,0.9999907725753557,2014-01-01
pd_development,avg_cur_bal,17433,0,0.0,
policy_development,avg_cur_bal,94885,94882,0.9999683827791537,2013-02-01
post_extension,avg_cur_bal,877671,877595,0.999913407187887,2017-10-01
primary_oot,avg_cur_bal,376890,376888,0.9999946934118709,2016-04-01
probability_calibration,avg_cur_bal,14101,0,0.0,
censored_extension,bc_open_to_buy,88227,86879,0.9847212304623302,2017-07-01
conformal_fit,bc_open_to_buy,49007,42516,0.8675495337400779,2012-03-01
maturity_gap,bc_open_to_buy,541863,536415,0.9899457981076397,2014-01-01
pd_development,bc_open_to_buy,17433,0,0.0,
policy_development,bc_open_to_buy,94885,94127,0.9920113821995047,2013-02-01
post_extension,bc_open_to_buy,877671,865887,0.986573556606063,2017-10-01
primary_oot,bc_open_to_buy,376890,372290,0.9877948473029265,2016-04-01
probability_calibration,bc_open_to_buy,14101,0,0.0,
censored_extension,bc_util,88227,86833,0.9841998481190565,2017-07-01
conformal_fit,bc_util,49007,42493,0.8670802130307915,2012-03-01
maturity_gap,bc_util,541863,536036,0.9892463593196066,2014-01-01
pd_development,bc_util,17433,0,0.0,
policy_development,bc_util,94885,94087,0.9915898192548875,2013-02-01
post_extension,bc_util,877671,865450,0.9860756479364136,2017-10-01
primary_oot,bc_util,376890,372121,0.9873464406060124,2016-04-01
probability_calibration,bc_util,14101,0,0.0,
censored_extension,chargeoff_within_12_mths,88227,88227,1.0,2017-07-01
conformal_fit,chargeoff_within_12_mths,49007,49007,1.0,2012-01-01
maturity_gap,chargeoff_within_12_mths,541863,541863,1.0,2014-01-01
pd_development,chargeoff_within_12_mths,17433,17288,0.9916824413468709,2007-08-01
policy_development,chargeoff_within_12_mths,94885,94885,1.0,2013-02-01
post_extension,chargeoff_within_12_mths,877671,877671,1.0,2017-10-01
primary_oot,chargeoff_within_12_mths,376890,376890,1.0,2016-04-01
probability_calibration,chargeoff_within_12_mths,14101,14101,1.0,2011-01-01
censored_extension,collection_recovery_fee,88227,88227,1.0,2017-07-01
conformal_fit,collection_recovery_fee,49007,49007,1.0,2012-01-01
maturity_gap,collection_recovery_fee,541863,541863,1.0,2014-01-01
pd_development,collection_recovery_fee,17433,17433,1.0,2007-06-01
policy_development,collection_recovery_fee,94885,94885,1.0,2013-02-01
post_extension,collection_recovery_fee,877671,877671,1.0,2017-10-01
primary_oot,collection_recovery_fee,376890,376890,1.0,2016-04-01
probability_calibration,collection_recovery_fee,14101,14101,1.0,2011-01-01
censored_extension,collections_12_mths_ex_med,88227,88227,1.0,2017-07-01
conformal_fit,collections_12_mths_ex_med,49007,49007,1.0,2012-01-01
maturity_gap,collections_12_mths_ex_med,541863,541863,1.0,2014-01-01
pd_development,collections_12_mths_ex_med,17433,17288,0.9916824413468709,2007-08-01
policy_development,collections_12_mths_ex_med,94885,94885,1.0,2013-02-01
post_extension,collections_12_mths_ex_med,877671,877671,1.0,2017-10-01
primary_oot,collections_12_mths_ex_med,376890,376890,1.0,2016-04-01
probability_calibration,collections_12_mths_ex_med,14101,14101,1.0,2011-01-01
censored_extension,debt_settlement_flag,88227,88227,1.0,2017-07-01
conformal_fit,debt_settlement_flag,49007,49007,1.0,2012-01-01
maturity_gap,debt_settlement_flag,541863,541863,1.0,2014-01-01
pd_development,debt_settlement_flag,17433,17433,1.0,2007-06-01
policy_development,debt_settlement_flag,94885,94885,1.0,2013-02-01
post_extension,debt_settlement_flag,877671,877671,1.0,2017-10-01
primary_oot,debt_settlement_flag,376890,376890,1.0,2016-04-01
probability_calibration,debt_settlement_flag,14101,14101,1.0,2011-01-01
censored_extension,deferral_term,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,deferral_term,49007,0,0.0,
maturity_gap,deferral_term,541863,2205,0.0040692942681083595,2014-08-01
pd_development,deferral_term,17433,0,0.0,
policy_development,deferral_term,94885,0,0.0,
post_extension,deferral_term,877671,74396,0.08476524802574086,2017-10-01
primary_oot,deferral_term,376890,5254,0.013940407015309507,2016-04-01
