risk_group,test_count,test_defaults,test_default_rate,calibration_count,fallback_90,fallback_alpha01,coverage_90,coverage_alpha01,eligible_min_cal_test
green|nan|ltv_gt90,2,1,0.5,1,True,True,0.5,0.5,False
green|nan|ltv_61_80,28,0,0.0,15,True,True,1.0,1.0,False
green|nan|ltv_81_90,2,0,0.0,0,True,True,1.0,1.0,False
green|nan|ltv_le60,11,0,0.0,4,True,True,1.0,1.0,False
red|lt620|nan,1928,232,0.1203319502074688,1581,False,False,0.8853734439834025,0.9813278008298756,True
red|lt620|ltv_gt90,1095,118,0.1077625570776255,972,False,False,0.8968036529680365,0.9744292237442922,True
red|lt620|ltv_81_90,1572,154,0.0979643765903307,1105,False,False,0.9083969465648856,0.9885496183206108,True
red|lt620|ltv_61_80,3895,324,0.083183568677792,1878,False,False,0.9170731707317074,0.9635430038510912,True
red|620_679|nan,5111,433,0.0847192330268049,4784,False,False,0.9176286441009588,0.9733907258853454,True
red|lt620|ltv_le60,2623,181,0.069004956157072,1108,False,False,0.9287075867327488,0.9565383149065956,True
red|620_679|ltv_gt90,13805,875,0.0633828323071351,3570,False,False,0.9366171676928648,0.9808040565012676,True
red|620_679|ltv_81_90,13473,784,0.0581904549840421,4332,False,False,0.9397313144808136,0.9785496919765456,True
red|680_739|nan,6604,333,0.0504239854633555,14179,False,False,0.9495760145366444,0.9736523319200484,True
red|620_679|ltv_61_80,60013,2594,0.0432239681402362,20977,False,False,0.9505273857330911,0.980870811324213,True
red|620_679|ltv_le60,23525,763,0.032433581296493,10608,False,False,0.9605100956429332,0.979893730074389,True
red|740_plus|nan,692,25,0.0361271676300578,2384,False,False,0.963872832369942,0.976878612716763,True
green|740_plus|nan,6261,197,0.0314646222648139,21699,False,False,0.967257626577224,0.9776393547356652,True
red|680_739|ltv_gt90,70954,1973,0.0278067480339374,17324,False,False,0.971164416382445,0.9841728443780478,True
red|680_739|ltv_61_80,206768,3294,0.0159308983982047,96000,False,False,0.9757699450591968,0.9867049059815832,True
green|740_plus|ltv_61_80,415576,1747,0.0042038038770285,299681,False,False,0.9759971701926964,0.9952427474156352,True
red|680_739|ltv_81_90,58094,1180,0.02031190828657,23873,False,False,0.9762281819120736,0.9860398664233828,True
green|740_plus|ltv_le60,174915,480,0.0027441900351599,193923,False,False,0.976274190321013,0.996661235457222,True
red|680_739|ltv_le60,59626,641,0.0107503438097474,40332,False,False,0.978901821353101,0.9892328849830612,True
red|740_plus|ltv_gt90,13118,210,0.016008537886873,3304,False,False,0.982314377191645,0.9852111602378412,True
green|740_plus|ltv_81_90,99169,617,0.0062217023464994,59010,False,False,0.9833214008409886,0.9937782976535006,True
red|740_plus|ltv_61_80,34448,298,0.008650719925685,19875,False,False,0.984382257315374,0.9913492800743148,True
green|740_plus|ltv_gt90,102486,930,0.0090744101633393,33728,False,False,0.9851882208301622,0.9918427882832778,True
red|740_plus|ltv_81_90,10709,110,0.0102717340554673,4957,False,False,0.9874871603324308,0.990942198151088,True
red|740_plus|ltv_le60,9550,58,0.0060732984293193,7447,False,False,0.9881675392670156,0.993821989528796,True
