dataset_id,run_id,strategy,candidate_cap,seed,available_candidates,n_candidates,total_budget,max_portfolio_pd,nonrobust_objective,robust_objective,price_of_robustness_abs,price_of_robustness_pct,nonrobust_solver_status,robust_solver_status,robust_total_allocated,robust_n_funded,scenario_expected_loss,scenario_worst_case_loss,experiment
prosper_final_status,top_net_return_cap1000_seed42,top_net_return,1000,42,10531,1000,1000000.0,0.3245769893119755,220259.86083871548,199419.0887756709,20840.77206304454,0.0946190194785654,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,233,65372.52341896657,272418.3244733848,prosper_candidate_sensitivity
prosper_final_status,top_net_return_cap5000_seed42,top_net_return,5000,42,10531,5000,1000000.0,0.3245769893119755,220259.86083871548,199419.0887756709,20840.77206304454,0.0946190194785654,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,233,65372.52341896657,272418.3244733848,prosper_candidate_sensitivity
prosper_final_status,top_net_return_capall_seed42,top_net_return,all,42,10531,10531,1000000.0,0.3245769893119755,220259.8608387156,199419.08877567088,20840.77206304469,0.094619019478566,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,234,65372.523418966586,272418.3244733848,prosper_candidate_sensitivity
prosper_final_status,random_cap1000_seed42,random,1000,42,10531,1000,1000000.0,0.3245769893119755,166168.17660167778,140692.0500073207,25476.12659435708,0.1533153165387736,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,187,95562.73242437,348047.29625519505,prosper_candidate_sensitivity
prosper_final_status,random_cap1000_seed2026,random,1000,2026,10531,1000,1000000.0,0.3245769893119755,161084.18582561763,134957.02672474118,26127.15910087645,0.1621956802709393,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,179,95097.42178610816,349908.5388082424,prosper_candidate_sensitivity
prosper_final_status,random_cap1000_seed777,random,1000,777,10531,1000,1000000.0,0.3245769893119755,160550.8819707652,134780.4007618212,25770.481208943995,0.1605128598025176,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,195,95491.46051430142,348332.3838954694,prosper_candidate_sensitivity
prosper_final_status,random_cap5000_seed42,random,5000,42,10531,5000,1000000.0,0.3245769893119755,206976.7543587402,184805.77749464923,22170.97686409097,0.1071181975617579,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,225,75003.67748690525,293928.7276713456,prosper_candidate_sensitivity
prosper_final_status,random_cap5000_seed2026,random,5000,2026,10531,5000,1000000.0,0.3245769893119755,205186.3880237709,183337.67361416595,21848.71440960499,0.1064822799408789,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,229,73071.08057072849,288388.2577223504,prosper_candidate_sensitivity
prosper_final_status,random_cap5000_seed777,random,5000,777,10531,5000,1000000.0,0.3245769893119755,204500.22865076512,181977.3476818193,22522.88096894577,0.1101362141135263,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,239,77749.32673360837,300304.236579906,prosper_candidate_sensitivity
prosper_final_status,random_capall_seed42,random,all,42,10531,10531,1000000.0,0.3245769893119755,220259.8608387152,199419.0887756713,20840.772063043813,0.0946190194785623,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,234,65372.52341896658,272418.3244733848,prosper_candidate_sensitivity
prosper_final_status,random_capall_seed2026,random,all,2026,10531,10531,1000000.0,0.3245769893119755,220259.86083871528,199419.08877567103,20840.77206304425,0.0946190194785642,TerminationCondition.optimal,TerminationCondition.optimal,1000000.0,234,65372.52341896658,272418.3244733848,prosper_candidate_sensitivity
