dataset,strategy,candidate_cap,available_candidates,runs,robust_objective_mean,robust_objective_min,robust_objective_max,nonrobust_objective_mean,robust_n_funded_mean
Prosper final-status loans,top_net_return,1000,10531,1,199419.0887756709,199419.0887756709,199419.0887756709,220259.86083871548,233.0
Prosper final-status loans,top_net_return,5000,10531,1,199419.0887756709,199419.0887756709,199419.0887756709,220259.86083871548,233.0
Prosper final-status loans,top_net_return,all,10531,1,199419.08877567088,199419.08877567088,199419.08877567088,220259.8608387156,234.0
Prosper final-status loans,random,1000,10531,3,136809.82583129438,134780.4007618212,140692.0500073207,162601.0814660202,187.0
Prosper final-status loans,random,5000,10531,3,183373.59959687816,181977.34768181932,184805.77749464923,205554.45701109208,231.0
Prosper final-status loans,random,all,10531,3,199419.08877567117,199419.08877567103,199419.0887756713,220259.86083871522,234.33333333333334
Freddie FM48 both,top_net_return,1000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,top_net_return,5000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,top_net_return,10000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,top_net_return,25000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,top_net_return,50000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,top_net_return,100000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,top_net_return,250000,1396053,1,1291227.5801824068,1291227.5801824068,1291227.5801824068,1305409.055278483,146.0
Freddie FM48 both,random,1000,1396053,3,1056743.4698473162,1054043.8340842563,1060065.9648987832,1075554.8612782704,113.0
Freddie FM48 both,random,5000,1396053,3,1129835.6496948672,1124577.3552450945,1134306.807301479,1147433.5407165561,121.66666666666667
Freddie FM48 both,random,10000,1396053,3,1163040.3771203093,1160204.5486363675,1165078.147595012,1179829.1562833728,114.66666666666667
Freddie FM48 both,random,25000,1396053,3,1192925.997526994,1189915.324215843,1198143.740233957,1209898.5778409762,116.0
