charged_off_lag_months,window_id,window_rows,retained_rows,window_retention,minimum_monthly_retention,passes_locked_retention,phase_stratum,phase_rows,phase_prevalence,phase_residual_quantile,phase_interval_width_mean,phase_set_both_share
0,w01_2012m01_m06,14967,14949,0.9987973541791942,0.9971164936562861,True,2,3249,0.11665127731609726,0.8919735883395368,0.9881387583482552,0.13727300707910126
0,w02_2012m02_m07,16690,16675,0.9991012582384662,0.9971164936562861,True,2,3621,0.11654239160452913,0.8920116585417792,0.9883652306769672,0.14333057166528584
0,w03_2012m03_m08,19068,19052,0.999160897839312,0.9971164936562861,True,2,4018,0.11398705823792932,0.8916085888119072,0.9880289633104609,0.12692882030861125
0,w04_2012m04_m09,21791,21773,0.9991739709054197,0.9971164936562861,True,2,4511,0.10995344712923964,0.890281077239412,0.9867825422901555,0.07670139658612281
0,w05_2012m05_m10,24313,24282,0.9987249619545099,0.9971164936562861,True,2,5001,0.10657868426314737,0.8894148014498154,0.9859853433399698,0.04979004199160168
0,w06_2012m06_m11,26747,26709,0.9985792799192433,0.9971164936562861,True,2,5505,0.10572207084468666,0.8893536841967226,0.9859485251379693,0.047229791099000905
0,w07_2012m07_m12,28503,28453,0.9982457986878575,0.9971164936562861,True,2,5939,0.10321602963461862,0.8886909233974287,0.9851535995888699,0.022057585452096313
0,w08_2012m08_2013m01,30259,30198,0.9979840708549522,0.9971164936562861,True,2,6251,0.0990241561350184,0.11187000593928165,0.20825402445310648,0.0
3,w01_2012m01_m06,14967,14949,0.9987973541791942,0.9966694421315571,True,2,3249,0.11665127731609726,0.8919735883395368,0.9881387583482552,0.13727300707910126
3,w02_2012m02_m07,16690,16675,0.9991012582384662,0.9966694421315571,True,2,3621,0.11654239160452913,0.8920116585417792,0.9883652306769672,0.14333057166528584
3,w03_2012m03_m08,19068,19052,0.999160897839312,0.9966694421315571,True,2,4018,0.11398705823792932,0.8916085888119072,0.9880289633104609,0.12692882030861125
3,w04_2012m04_m09,21791,21773,0.9991739709054197,0.9966694421315571,True,2,4511,0.10995344712923964,0.890281077239412,0.9867825422901555,0.07670139658612281
3,w05_2012m05_m10,24313,24282,0.9987249619545099,0.9966694421315571,True,2,5001,0.10657868426314737,0.8894148014498154,0.9859853433399698,0.04979004199160168
3,w06_2012m06_m11,26747,26709,0.9985792799192433,0.9966694421315571,True,2,5505,0.10572207084468666,0.8893536841967226,0.9859485251379693,0.047229791099000905
3,w07_2012m07_m12,28503,28449,0.998105462582886,0.9966694421315571,True,2,5937,0.10291392959407109,0.8886749896176616,0.9851387217798037,0.021222839818089943
3,w08_2012m08_2013m01,30259,30191,0.9977527347235533,0.9966694421315571,True,2,6249,0.09873579772763642,0.11186160467827937,0.20824626847497563,0.0
