paired_policy_id,seed,purpose_cap,payoff_direction,default_direction,miscoverage_direction,payoff_lower,payoff_upper,default_lower,default_upper,miscoverage_lower,miscoverage_upper
linear-001,40,0.2,indeterminate,indeterminate,indeterminate,-28778.76730633783,38704.63019366217,-0.0057199529451820545,0.0007917137214846133,-0.00549234393150913,0.0010193227351575384
linear-001,40,0.25,positive,negative,negative,31063.702600509467,124113.00326288767,-0.013882237076839998,-0.005081836878098117,-0.013931622780512597,-0.007523690023169779
linear-001,40,0.3,negative,indeterminate,indeterminate,-93759.75200061341,-5890.980619486218,-0.0010607009115798371,0.007430639746489054,-0.0027542560130040684,0.004407410653662599
linear-001,40,1.0,negative,positive,positive,-216917.6392375706,-128473.23923757058,0.010903592112803812,0.01966525877947048,0.012089886636714455,0.02085155330338112
linear-001,41,0.2,positive,negative,negative,154731.62421108203,240683.26684784325,-0.026680312182190295,-0.018174130672362704,-0.025551811814104347,-0.017930630304276753
linear-001,41,0.25,indeterminate,indeterminate,indeterminate,-45816.57308680446,65830.98540700687,-0.008524398748572151,0.002424884511744214,-0.0037274890204661475,0.005437510979533853
linear-001,41,0.3,indeterminate,indeterminate,indeterminate,-46431.078261213275,75658.60503658911,-0.009212467287061026,0.002993846597849021,-0.003036682164326866,0.007836298387249847
linear-001,41,1.0,indeterminate,indeterminate,indeterminate,-79418.826411495,65442.00970897342,-0.009112436460630455,0.005144119508510866,-0.00518939113886128,0.008096994955546784
linear-001,42,0.2,positive,negative,indeterminate,717.9576496893715,85380.63772254574,-0.009694211975834234,-0.0011189187368650768,-0.0045778142976667284,0.00279747894130243
linear-001,42,0.25,indeterminate,indeterminate,indeterminate,-7379.684954467528,89593.94357943264,-0.009345582406563115,0.0003467379881095863,-0.0017304274889925666,0.006761892905680135
linear-001,42,0.3,negative,positive,positive,-186780.3570952632,-82551.49959526322,0.007590885183428437,0.01789921851676177,0.013622427082388457,0.02273076041572179
linear-001,42,1.0,negative,positive,positive,-365159.57390594087,-262703.2815507789,0.023033225264078038,0.033107335634798056,0.024969900388980087,0.034657344093033435
