paired_policy_id,lgd,realized_payoff_difference_lower,realized_payoff_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper
linear-001,0.25,-67601.49576547244,19296.54089815024,-0.006453085192710039,0.00576196257898387,-0.0004541906163190203,0.010560857155374892
linear-002,0.25,-176039.47367676935,-68981.01898772249,0.001751877032072368,0.017186914061430053,0.013209102304712818,0.027057472667403833
linear-003,0.25,-174629.14854946616,-47240.31659566049,-0.0022433615977620605,0.01613530133488887,0.01641083374957885,0.033202830015563116
linear-004,0.25,-47188.09016651734,32017.134651173197,-0.007750725205471428,0.0032058479506323883,-0.0013240585388047607,0.007647514617299052
linear-005,0.25,-128575.98723672214,-25202.199736722163,-0.003521375326054563,0.011305291340612103,0.009047753921671935,0.022287753921671934
linear-006,0.25,-193723.48762407136,-82957.19286444894,0.0032400696513609703,0.019173788456071053,0.01708127125403342,0.03142832339207684
linear-007,0.25,466.5053351973329,51510.99428264321,-0.00992935565044828,-0.0028888504245964675,-0.00557468921391038,0.0006808160119414312
linear-008,0.25,-116850.68969625421,-13803.402196254203,-0.004102247302304228,0.010621086031029103,0.00891406641456482,0.022050733081231483
linear-009,0.25,-181819.91380822888,-73174.73903890587,0.0016075945233307671,0.01722385996659809,0.013401944235769538,0.027431543012370198
linear-001,0.45,-7379.684954467528,89593.94357943264,-0.009345582406563115,0.0003467379881095863,-0.0017304274889925666,0.006761892905680135
linear-002,0.45,-170958.0506816462,-23355.645278734082,-0.0016769603556563324,0.013084381733902884,0.007470194538271021,0.02064486996116357
linear-003,0.45,-195811.88184517133,-26690.686845171324,-0.0021584886029494196,0.01508651139705058,0.01210367712875568,0.027095343795422347
linear-004,0.45,-45995.41979403753,7034.364639026142,-0.0015181158115019997,0.003815942541720797,0.001486924645727316,0.005620982998950114
linear-005,0.45,-135905.18562966606,-6936.449301627916,-0.0031702467880402024,0.009673112851249166,0.006988479034400092,0.018245172007022793
linear-006,0.45,-182723.41445994013,-30426.929933036823,-0.0011389612644556926,0.014268016844768722,0.011468052089149555,0.025099381976590555
linear-007,0.45,-43302.66153504162,-3211.23403504162,-0.0008452451667670859,0.0030080881665662494,3.319136982313578e-05,0.00310152470315647
linear-008,0.45,-157069.75348556685,-25322.43860323287,-0.0005188772361298466,0.012567045371529268,0.007330023613209583,0.01882927955420203
linear-009,0.45,-218918.9543599012,-74357.55685990123,0.0028877932856407086,0.017311126618974042,0.013609654496699496,0.026446321163366163
linear-001,0.65,-40096.33783886755,35768.57718081787,-0.0035813875535251048,0.002355181259274015,-0.00017760950831257607,0.005758959304486545
linear-002,0.65,-78852.45966661951,96671.7603333805,-0.00958607244630501,0.0040339275536949906,0.0010276447917291365,0.013060978125062472
linear-003,0.65,-159907.21925841447,58961.44062486901,-0.00708519115609857,0.009977182187521333,0.0039464755105680935,0.018755515520854662
linear-004,0.65,131931.94546526123,173566.95154760504,-0.013863600620150598,-0.010628983268790759,-0.013960876935378955,-0.010726259584019114
linear-005,0.65,-26858.896879312953,136490.8825310173,-0.012509711161413646,3.0329315039101523e-05,-0.002292596649617629,0.008660777160168453
linear-006,0.65,-122554.52010919461,74926.95536770341,-0.00847141217204906,0.006892989775863773,0.0023392353635319045,0.015450303978111406
linear-007,0.65,-30491.34716790977,332.7184442124708,-0.00021645549892593176,0.002148919973148638,-0.0003959295593148164,0.0019694459127597543
linear-008,0.65,-86141.3785573401,61168.5114426599,-0.006217656200455142,0.005069010466211522,-0.0009052423211039634,0.009181424345562704
linear-009,0.65,-116915.39168551164,70723.34927824423,-0.007766135518217659,0.006796134782428752,0.002998692962750087,0.015960359629416755
