family,selected,candidate_id,risk_tolerance,gamma,months,expected_objective,realized_payoff,weighted_default,weighted_miscoverage
conformal_guardrail,True,linear-004,0.17,0.25,6,668966.6058395321,581408.6408101239,0.0911853452962949,0.1361124622226593
conformal_guardrail,False,linear-001,0.15,0.25,6,650237.8531614147,580170.315780701,0.08337052850410791,0.1327246951707746
conformal_guardrail,False,linear-008,0.19,0.5,6,623720.515098704,577391.4826504919,0.07357688062324014,0.13332688062324013
conformal_guardrail,False,linear-005,0.17,0.5,6,610778.8010471296,571620.8766707232,0.06904623616543959,0.1319466571486839
conformal_guardrail,False,linear-002,0.15,0.5,6,596958.3031913865,569200.7730886401,0.06365833333333333,0.12967916666666665
conformal_guardrail,False,linear-009,0.19,0.75,6,593348.7827659259,562071.439789572,0.06466384016718342,0.13142217350051677
conformal_guardrail,False,linear-003,0.15,0.75,6,571612.1863011181,556570.9892773302,0.056745827671111436,0.12595263479731703
conformal_guardrail,False,linear-007,0.19,0.25,6,685779.4803598988,555442.61200987,0.1073457060268201,0.1485123726934868
conformal_guardrail,False,linear-006,0.17,0.75,6,582833.3441648139,554522.1226532786,0.06224713544432264,0.12900546877765598
point_pd,True,point-tau-150,0.15,0.0,6,741668.2791926727,531148.5399999999,0.1549875,0.14347083333333335
point_pd,False,point-tau-170,0.17,0.0,6,741668.2791926727,531148.5399999999,0.1549875,0.14347083333333335
point_pd,False,point-tau-190,0.19,0.0,6,741668.2791926727,531148.5399999999,0.1549875,0.14347083333333335
