learner,learner_label,reference_role,comparison_role,reference_rows,comparison_rows,psi,bin_edges
catboost_platt,CatBoost,pd_development,probability_calibration,17433,14101,0.17407068828677333,"[-Infinity, 0.04261672704685651, 0.06355959079594822, 0.08339555766062527, 0.10286324786698922, 0.12166132268398075, 0.1414130325328107, 0.16341704213258806, 0.1927072483379503, 0.23853531204708556, Infinity]"
catboost_platt,CatBoost,pd_development,conformal_fit,17433,49007,0.09687542537370272,"[-Infinity, 0.04261672704685651, 0.06355959079594822, 0.08339555766062527, 0.10286324786698922, 0.12166132268398075, 0.1414130325328107, 0.16341704213258806, 0.1927072483379503, 0.23853531204708556, Infinity]"
catboost_platt,CatBoost,pd_development,policy_development,17433,94885,0.0804944200230353,"[-Infinity, 0.04261672704685651, 0.06355959079594822, 0.08339555766062527, 0.10286324786698922, 0.12166132268398075, 0.1414130325328107, 0.16341704213258806, 0.1927072483379503, 0.23853531204708556, Infinity]"
catboost_platt,CatBoost,pd_development,primary_oot,17433,376890,0.1397574884533394,"[-Infinity, 0.04261672704685651, 0.06355959079594822, 0.08339555766062527, 0.10286324786698922, 0.12166132268398075, 0.1414130325328107, 0.16341704213258806, 0.1927072483379503, 0.23853531204708556, Infinity]"
catboost_platt,CatBoost,pd_development,censored_extension,17433,88227,0.15508902744066488,"[-Infinity, 0.04261672704685651, 0.06355959079594822, 0.08339555766062527, 0.10286324786698922, 0.12166132268398075, 0.1414130325328107, 0.16341704213258806, 0.1927072483379503, 0.23853531204708556, Infinity]"
numeric_logistic_platt,Numeric logistic,pd_development,probability_calibration,17433,14101,0.13797815521803242,"[-Infinity, 0.05277788689082225, 0.06876201433363191, 0.08443091210141554, 0.09993699103367058, 0.11518839289701487, 0.1321813034220992, 0.1516382266905663, 0.1772320826894889, 0.22129847971211278, Infinity]"
numeric_logistic_platt,Numeric logistic,pd_development,conformal_fit,17433,49007,0.04100272203228261,"[-Infinity, 0.05277788689082225, 0.06876201433363191, 0.08443091210141554, 0.09993699103367058, 0.11518839289701487, 0.1321813034220992, 0.1516382266905663, 0.1772320826894889, 0.22129847971211278, Infinity]"
numeric_logistic_platt,Numeric logistic,pd_development,policy_development,17433,94885,0.1034365170682255,"[-Infinity, 0.05277788689082225, 0.06876201433363191, 0.08443091210141554, 0.09993699103367058, 0.11518839289701487, 0.1321813034220992, 0.1516382266905663, 0.1772320826894889, 0.22129847971211278, Infinity]"
numeric_logistic_platt,Numeric logistic,pd_development,primary_oot,17433,376890,0.005167903809465062,"[-Infinity, 0.05277788689082225, 0.06876201433363191, 0.08443091210141554, 0.09993699103367058, 0.11518839289701487, 0.1321813034220992, 0.1516382266905663, 0.1772320826894889, 0.22129847971211278, Infinity]"
numeric_logistic_platt,Numeric logistic,pd_development,censored_extension,17433,88227,0.005494130430828579,"[-Infinity, 0.05277788689082225, 0.06876201433363191, 0.08443091210141554, 0.09993699103367058, 0.11518839289701487, 0.1321813034220992, 0.1516382266905663, 0.1772320826894889, 0.22129847971211278, Infinity]"
catboost_monotonic_platt,Monotonic CatBoost,pd_development,probability_calibration,17433,14101,0.18254271016740511,"[-Infinity, 0.0437133457488556, 0.06477749039608523, 0.08479454311252721, 0.10452104540174735, 0.12371933386843262, 0.1428350095364703, 0.16474240744893798, 0.1936480061992157, 0.2416254435522038, Infinity]"
catboost_monotonic_platt,Monotonic CatBoost,pd_development,conformal_fit,17433,49007,0.07649837663049866,"[-Infinity, 0.0437133457488556, 0.06477749039608523, 0.08479454311252721, 0.10452104540174735, 0.12371933386843262, 0.1428350095364703, 0.16474240744893798, 0.1936480061992157, 0.2416254435522038, Infinity]"
catboost_monotonic_platt,Monotonic CatBoost,pd_development,policy_development,17433,94885,0.06879565388007686,"[-Infinity, 0.0437133457488556, 0.06477749039608523, 0.08479454311252721, 0.10452104540174735, 0.12371933386843262, 0.1428350095364703, 0.16474240744893798, 0.1936480061992157, 0.2416254435522038, Infinity]"
catboost_monotonic_platt,Monotonic CatBoost,pd_development,primary_oot,17433,376890,0.09370550856801749,"[-Infinity, 0.0437133457488556, 0.06477749039608523, 0.08479454311252721, 0.10452104540174735, 0.12371933386843262, 0.1428350095364703, 0.16474240744893798, 0.1936480061992157, 0.2416254435522038, Infinity]"
catboost_monotonic_platt,Monotonic CatBoost,pd_development,censored_extension,17433,88227,0.11971513945324881,"[-Infinity, 0.0437133457488556, 0.06477749039608523, 0.08479454311252721, 0.10452104540174735, 0.12371933386843262, 0.1428350095364703, 0.16474240744893798, 0.1936480061992157, 0.2416254435522038, Infinity]"
woe_scorecard_platform_platt,Platform-signal WOE scorecard,pd_development,probability_calibration,17433,14101,0.28947005890143485,"[-Infinity, 0.051639511857074744, 0.07293806621304565, 0.0911892051364249, 0.1081442936583909, 0.1254537296840375, 0.14460263624638384, 0.16775053138646007, 0.19835288305302934, 0.24968579142679675, Infinity]"
woe_scorecard_platform_platt,Platform-signal WOE scorecard,pd_development,conformal_fit,17433,49007,0.14720859274640988,"[-Infinity, 0.051639511857074744, 0.07293806621304565, 0.0911892051364249, 0.1081442936583909, 0.1254537296840375, 0.14460263624638384, 0.16775053138646007, 0.19835288305302934, 0.24968579142679675, Infinity]"
woe_scorecard_platform_platt,Platform-signal WOE scorecard,pd_development,policy_development,17433,94885,0.18227568586918236,"[-Infinity, 0.051639511857074744, 0.07293806621304565, 0.0911892051364249, 0.1081442936583909, 0.1254537296840375, 0.14460263624638384, 0.16775053138646007, 0.19835288305302934, 0.24968579142679675, Infinity]"
woe_scorecard_platform_platt,Platform-signal WOE scorecard,pd_development,primary_oot,17433,376890,0.14886689865662606,"[-Infinity, 0.051639511857074744, 0.07293806621304565, 0.0911892051364249, 0.1081442936583909, 0.1254537296840375, 0.14460263624638384, 0.16775053138646007, 0.19835288305302934, 0.24968579142679675, Infinity]"
woe_scorecard_platform_platt,Platform-signal WOE scorecard,pd_development,censored_extension,17433,88227,0.19282930306197582,"[-Infinity, 0.051639511857074744, 0.07293806621304565, 0.0911892051364249, 0.1081442936583909, 0.1254537296840375, 0.14460263624638384, 0.16775053138646007, 0.19835288305302934, 0.24968579142679675, Infinity]"
woe_scorecard_borrower_platt,Borrower-only WOE scorecard,pd_development,probability_calibration,17433,14101,0.20117450389076702,"[-Infinity, 0.04861776304603217, 0.06662708595896956, 0.08319285194171437, 0.09888242771470508, 0.11649125751644453, 0.13587450786502708, 0.15996645636981532, 0.19153805694933232, 0.24929481366337367, Infinity]"
woe_scorecard_borrower_platt,Borrower-only WOE scorecard,pd_development,conformal_fit,17433,49007,0.12021776634266133,"[-Infinity, 0.04861776304603217, 0.06662708595896956, 0.08319285194171437, 0.09888242771470508, 0.11649125751644453, 0.13587450786502708, 0.15996645636981532, 0.19153805694933232, 0.24929481366337367, Infinity]"
woe_scorecard_borrower_platt,Borrower-only WOE scorecard,pd_development,policy_development,17433,94885,0.1479539663610525,"[-Infinity, 0.04861776304603217, 0.06662708595896956, 0.08319285194171437, 0.09888242771470508, 0.11649125751644453, 0.13587450786502708, 0.15996645636981532, 0.19153805694933232, 0.24929481366337367, Infinity]"
woe_scorecard_borrower_platt,Borrower-only WOE scorecard,pd_development,primary_oot,17433,376890,0.07233216453444681,"[-Infinity, 0.04861776304603217, 0.06662708595896956, 0.08319285194171437, 0.09888242771470508, 0.11649125751644453, 0.13587450786502708, 0.15996645636981532, 0.19153805694933232, 0.24929481366337367, Infinity]"
woe_scorecard_borrower_platt,Borrower-only WOE scorecard,pd_development,censored_extension,17433,88227,0.07618880966587974,"[-Infinity, 0.04861776304603217, 0.06662708595896956, 0.08319285194171437, 0.09888242771470508, 0.11649125751644453, 0.13587450786502708, 0.15996645636981532, 0.19153805694933232, 0.24929481366337367, Infinity]"
