charged_off_lag_months,window_id,window_rows,retained_rows,window_retention,minimum_monthly_retention,passes_locked_retention,phase_stratum,phase_rows,phase_prevalence,phase_residual_quantile,phase_interval_width_mean,phase_set_both_share
0,w01_2012m01_m06,14967,14949,0.9987973541791942,0.997116493656286,True,2,3249,0.1166512773160972,0.8919735883395368,0.9881387583482552,0.1372730070791012
0,w02_2012m02_m07,16690,16675,0.9991012582384662,0.997116493656286,True,2,3621,0.1165423916045291,0.8920116585417792,0.9883652306769672,0.1433305716652858
0,w03_2012m03_m08,19068,19052,0.999160897839312,0.997116493656286,True,2,4018,0.1139870582379293,0.8916085888119072,0.9880289633104608,0.1269288203086112
0,w04_2012m04_m09,21791,21773,0.9991739709054196,0.997116493656286,True,2,4511,0.1099534471292396,0.890281077239412,0.9867825422901556,0.0767013965861228
0,w05_2012m05_m10,24313,24282,0.99872496195451,0.997116493656286,True,2,5001,0.1065786842631473,0.8894148014498154,0.9859853433399698,0.0497900419916016
0,w06_2012m06_m11,26747,26709,0.9985792799192432,0.997116493656286,True,2,5505,0.1057220708446866,0.8893536841967226,0.9859485251379692,0.0472297910990009
0,w07_2012m07_m12,28503,28453,0.9982457986878576,0.997116493656286,True,2,5939,0.1032160296346186,0.8886909233974287,0.98515359958887,0.0220575854520963
0,w08_2012m08_2013m01,30259,30198,0.9979840708549522,0.997116493656286,True,2,6251,0.0990241561350184,0.1118700059392816,0.2082540244531064,0.0
3,w01_2012m01_m06,14967,14949,0.9987973541791942,0.9966694421315572,True,2,3249,0.1166512773160972,0.8919735883395368,0.9881387583482552,0.1372730070791012
3,w02_2012m02_m07,16690,16675,0.9991012582384662,0.9966694421315572,True,2,3621,0.1165423916045291,0.8920116585417792,0.9883652306769672,0.1433305716652858
3,w03_2012m03_m08,19068,19052,0.999160897839312,0.9966694421315572,True,2,4018,0.1139870582379293,0.8916085888119072,0.9880289633104608,0.1269288203086112
3,w04_2012m04_m09,21791,21773,0.9991739709054196,0.9966694421315572,True,2,4511,0.1099534471292396,0.890281077239412,0.9867825422901556,0.0767013965861228
3,w05_2012m05_m10,24313,24282,0.99872496195451,0.9966694421315572,True,2,5001,0.1065786842631473,0.8894148014498154,0.9859853433399698,0.0497900419916016
3,w06_2012m06_m11,26747,26709,0.9985792799192432,0.9966694421315572,True,2,5505,0.1057220708446866,0.8893536841967226,0.9859485251379692,0.0472297910990009
3,w07_2012m07_m12,28503,28449,0.998105462582886,0.9966694421315572,True,2,5937,0.102913929594071,0.8886749896176616,0.9851387217798036,0.0212228398180899
3,w08_2012m08_2013m01,30259,30191,0.9977527347235532,0.9966694421315572,True,2,6249,0.0987357977276364,0.1118616046782793,0.2082462684749756,0.0
6,w01_2012m01_m06,14967,14948,0.9987305405224828,0.9929564746252484,True,2,3249,0.1166512773160972,0.8919735883395368,0.9881387583482552,0.1372730070791012
6,w02_2012m02_m07,16690,16674,0.9990413421210306,0.9929564746252484,True,2,3621,0.1165423916045291,0.8920116585417792,0.9883652306769672,0.1433305716652858
6,w03_2012m03_m08,19068,19049,0.999003566184183,0.9929564746252484,True,2,4018,0.1139870582379293,0.8916085888119072,0.9880289633104608,0.1269288203086112
6,w04_2012m04_m09,21791,21767,0.9988986278738928,0.9929564746252484,True,2,4511,0.1099534471292396,0.890281077239412,0.9867825422901556,0.0767013965861228
6,w05_2012m05_m10,24313,24270,0.9982313988401268,0.9929564746252484,True,2,5001,0.1065786842631473,0.8894148014498154,0.9859853433399698,0.0497900419916016
6,w06_2012m06_m11,26747,26685,0.9976819830261338,0.9929564746252484,True,2,5502,0.1052344601962922,0.8892521057704302,0.9858494930099646,0.044711014176663
6,w07_2012m07_m12,28503,28411,0.9967722695856576,0.9929564746252484,True,2,5929,0.1017034913138809,0.8884345991499274,0.9848983200473448,0.0129870129870129
6,w08_2012m08_2013m01,30259,30129,0.9957037575597344,0.9929564746252484,True,2,6238,0.0971465213209362,0.1118010883671265,0.2081817207788981,0.0
8,w01_2012m01_m06,14967,14945,0.9985300995523484,0.9868159653241828,False,2,3249,0.1166512773160972,0.8919735883395368,0.9881387583482552,0.1372730070791012
8,w02_2012m02_m07,16690,16669,0.9987417615338526,0.9868159653241828,False,2,3620,0.1162983425414364,0.8919735883395368,0.9883343129081892,0.1414364640883978
8,w03_2012m03_m08,19068,19042,0.998636458988882,0.9868159653241828,False,2,4016,0.1135458167330677,0.8914417663875044,0.9878822284936604,0.1190239043824701
8,w04_2012m04_m09,21791,21758,0.9984856133266028,0.9868159653241828,False,2,4509,0.109558660456864,0.8902427153564156,0.986746796229896,0.0756265247283211
8,w05_2012m05_m10,24313,24245,0.9972031423518284,0.9868159653241828,False,2,4996,0.1056845476381104,0.8893093428244802,0.985881593664338,0.0464371497197758
8,w06_2012m06_m11,26747,26640,0.9959995513515536,0.9868159653241828,False,2,5494,0.1039315617036767,0.88903966354385,0.9856492442766288,0.0371314160902803
8,w07_2012m07_m12,28503,28349,0.9945970599586008,0.9868159653241828,False,2,5916,0.0997295469912102,0.1118832525211423,0.2083465264137485,0.0
