origin_id,origin,origin_year,snapshot_resolution,candidate_rows,resolved_rows,unresolved_rows,evaluation_cutoff,common_followup_months
primary_2016,2016 origin,2016,fully_paid_by_reconstructed_cutoff,62414,62414,0,2019-09-30,39
primary_2016,2016 origin,2016,charged_off_by_reconstructed_cutoff,11706,11706,0,2019-09-30,39
primary_2016,2016 origin,2016,nonterminal_or_unresolved_status,0,0,0,2019-09-30,39
primary_2016,2016 origin,2016,terminal_after_reconstructed_cutoff,323,0,323,2019-09-30,39
primary_2016,2016 origin,2016,terminal_availability_date_missing,94,0,94,2019-09-30,39
rolling_2017,2017 origin,2017,fully_paid_by_reconstructed_cutoff,55300,55300,0,2020-09-30,39
rolling_2017,2017 origin,2017,charged_off_by_reconstructed_cutoff,10791,10791,0,2020-09-30,39
rolling_2017,2017 origin,2017,nonterminal_or_unresolved_status,10888,0,10888,2020-09-30,39
rolling_2017,2017 origin,2017,terminal_after_reconstructed_cutoff,32,0,32,2020-09-30,39
rolling_2017,2017 origin,2017,terminal_availability_date_missing,94,0,94,2020-09-30,39
