window_id,role,frontier_ruler,frontier_coordinate,gamma0_candidate_id,gamma1_candidate_id,gamma0_selected_positions,gamma1_selected_positions,gamma0_funded_dollars,gamma1_funded_dollars,committed_capital_usd,funded_union_positions,funded_overlap_positions,unresolved_union_positions,gamma1_minus_gamma0_count_selected_fcp_lower,gamma1_minus_gamma0_count_selected_fcp_upper,gamma1_minus_gamma0_count_selected_coverage_lower,gamma1_minus_gamma0_count_selected_coverage_upper,gamma1_minus_gamma0_count_selected_fcp_direction,gamma1_minus_gamma0_invested_dollar_selected_fcp_lower,gamma1_minus_gamma0_invested_dollar_selected_fcp_upper,gamma1_minus_gamma0_invested_dollar_selected_coverage_lower,gamma1_minus_gamma0_invested_dollar_selected_coverage_upper,gamma1_minus_gamma0_invested_dollar_selected_fcp_direction,gamma1_minus_gamma0_fixed_capital_decision_fcp_lower,gamma1_minus_gamma0_fixed_capital_decision_fcp_upper,gamma1_minus_gamma0_fixed_capital_decision_coverage_lower,gamma1_minus_gamma0_fixed_capital_decision_coverage_upper,gamma1_minus_gamma0_fixed_capital_decision_fcp_direction,sharpness,periods
w01_2012m01_m06,primary_oot,normalized_score,0.25,normalized_score_g000_c025,normalized_score_g100_c025,1528,1437,14999625.0,14999575.0,15000000.0,2289,676,65,0.08311563867423041,0.11405788309705722,-0.11405788309705722,-0.08311563867423041,higher,0.08441646494611324,0.123849196188848,-0.123849196188848,-0.08441646494611324,higher,0.08441333333333333,0.12384500000000001,-0.12384500000000001,-0.08441333333333333,higher,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.5,normalized_score_g000_c050,normalized_score_g100_c050,1482,1439,14999625.0,14999600.0,15000000.0,1932,989,50,0.03280974660953447,0.051059318258762317,-0.051059318258762317,-0.03280974660953447,higher,0.021194385865251228,0.039593220523331564,-0.039593220523331564,-0.021194385865251228,higher,0.021193333333333335,0.039591666666666664,-0.039591666666666664,-0.021193333333333335,higher,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.75,normalized_score_g000_c075,normalized_score_g100_c075,1461,1445,14999600.0,14999600.0,15000000.0,1675,1231,42,0.013998091083274707,0.023168943866953708,-0.023168943866953708,-0.013998091083274707,higher,0.009741926451372038,0.016997119923197954,-0.016997119923197954,-0.009741926451372038,higher,0.009741666666666668,0.016996666666666667,-0.016996666666666667,-0.009741666666666668,higher,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.25,objective_matched_g000_c025,objective_matched_g100_c025,1559,1560,14999625.0,14999625.0,15000000.0,1574,1545,51,-0.0013503067383760063,-0.0006883110475156608,0.0006883110475156608,0.0013503067383760063,lower,-6.666833337500098e-05,0.0012666983341250199,-0.0012666983341250199,6.666833337500098e-05,crossing,-6.66666666666667e-05,0.0012666666666666666,-0.0012666666666666666,6.66666666666667e-05,crossing,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.5,objective_matched_g000_c050,objective_matched_g100_c050,1504,1520,14999625.0,14999625.0,15000000.0,1758,1266,57,0.004213325867861143,0.011814109742441209,-0.011814109742441209,-0.004213325867861143,higher,0.01015025375634391,0.016430410760269007,-0.016430410760269007,-0.01015025375634391,higher,0.01015,0.01643,-0.01643,-0.01015,higher,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.75,objective_matched_g000_c075,objective_matched_g100_c075,1500,1457,14999625.0,14999625.0,15000000.0,1934,1023,55,0.026003202928391672,0.04600549073438573,-0.04600549073438573,-0.026003202928391672,higher,0.013250331258281458,0.03971099277481937,-0.03971099277481937,-0.013250331258281458,higher,0.013249999999999998,0.039709999999999995,-0.039709999999999995,-0.013249999999999998,higher,cellwise_shared_binary_completion,15
w02_2012m02_m07,primary_oot,normalized_score,0.25,normalized_score_g000_c025,normalized_score_g100_c025,1528,1437,14999625.0,14999550.0,15000000.0,2289,676,65,0.08193107003756372,0.1128733144603905,-0.1128733144603905,-0.08193107003756372,higher,0.08391530940408075,0.12333807972688143,-0.12333807972688143,-0.08391530940408075,higher,0.08391166666666666,0.12333333333333332,-0.12333333333333332,-0.08391166666666666,higher,cellwise_shared_binary_completion,15
w02_2012m02_m07,primary_oot,normalized_score,0.5,normalized_score_g000_c050,normalized_score_g100_c050,1482,1440,14999625.0,14999575.0,15000000.0,1932,990,50,0.0320062977957715,0.05023897885739993,-0.05023897885739993,-0.0320062977957715,higher,0.02106824760272658,0.039465456901968954,-0.039465456901968954,-0.02106824760272658,higher,0.021066666666666668,0.039463333333333336,-0.039463333333333336,-0.021066666666666668,higher,cellwise_shared_binary_completion,15
w02_2012m02_m07,primary_oot,normalized_score,0.75,normalized_score_g000_c075,normalized_score_g100_c075,1461,1445,14999600.0,14999550.0,15000000.0,1675,1231,42,0.012636744515416982,0.021807597299095982,-0.021807597299095982,-0.012636744515416982,higher,0.007532943677448702,0.014786545170174852,-0.014786545170174852,-0.007532943677448702,higher,0.007531666666666666,0.014784999999999998,-0.014784999999999998,-0.007531666666666666,higher,cellwise_shared_binary_completion,15
w02_2012m02_m07,primary_oot,objective_matched,0.25,objective_matched_g000_c025,objective_matched_g100_c025,1559,1560,14999625.0,14999625.0,15000000.0,1574,1545,51,-0.0013503067383760063,-0.0006883110475156608,0.0006883110475156608,0.0013503067383760063,lower,-6.666833337500098e-05,0.0012666983341250199,-0.0012666983341250199,6.666833337500098e-05,crossing,-6.66666666666667e-05,0.0012666666666666666,-0.0012666666666666666,6.66666666666667e-05,crossing,cellwise_shared_binary_completion,15
w02_2012m02_m07,primary_oot,objective_matched,0.5,objective_matched_g000_c050,objective_matched_g100_c050,1504,1520,14999625.0,14999625.0,15000000.0,1758,1266,57,0.005508118701007839,0.013108902575587906,-0.013108902575587906,-0.005508118701007839,higher,0.010950273756843923,0.01723043076076902,-0.01723043076076902,-0.010950273756843923,higher,0.01095,0.01723,-0.01723,-0.01095,higher,cellwise_shared_binary_completion,15
w02_2012m02_m07,primary_oot,objective_matched,0.75,objective_matched_g000_c075,objective_matched_g100_c075,1500,1457,14999625.0,14999625.0,15000000.0,1934,1023,55,0.02676824525280256,0.04677053305879661,-0.04677053305879661,-0.02676824525280256,higher,0.014283690425593973,0.040744351942131884,-0.040744351942131884,-0.014283690425593973,higher,0.014283333333333332,0.04074333333333333,-0.04074333333333333,-0.014283333333333332,higher,cellwise_shared_binary_completion,15
w03_2012m03_m08,primary_oot,normalized_score,0.25,normalized_score_g000_c025,normalized_score_g100_c025,1528,1437,14999625.0,14999525.0,15000000.0,2288,677,65,0.08410164063439321,0.11504388505722,-0.11504388505722,-0.08410164063439321,higher,0.08531420740976836,0.1247336836572153,-0.1247336836572153,-0.08531420740976836,higher,0.08531,0.12472833333333334,-0.12472833333333334,-0.08531,higher,cellwise_shared_binary_completion,15
w03_2012m03_m08,primary_oot,normalized_score,0.5,normalized_score_g000_c050,normalized_score_g100_c050,1482,1441,14999625.0,14999625.0,15000000.0,1931,992,50,0.032588143074282094,0.050803956991180774,-0.050803956991180774,-0.032588143074282094,higher,0.02134886705500971,0.03974766035817562,-0.03974766035817562,-0.02134886705500971,higher,0.021348333333333334,0.039746666666666666,-0.039746666666666666,-0.021348333333333334,higher,cellwise_shared_binary_completion,15
w03_2012m03_m08,primary_oot,normalized_score,0.75,normalized_score_g000_c075,normalized_score_g100_c075,1461,1445,14999600.0,14999575.0,15000000.0,1675,1231,42,0.011290555598975904,0.020461408382654905,-0.020461408382654905,-0.011290555598975904,higher,0.007302403212770434,0.014555967339428037,-0.014555967339428037,-0.007302403212770434,higher,0.007301666666666668,0.014555000000000002,-0.014555000000000002,-0.007301666666666668,higher,cellwise_shared_binary_completion,15
w03_2012m03_m08,primary_oot,objective_matched,0.25,objective_matched_g000_c025,objective_matched_g100_c025,1559,1560,14999625.0,14999625.0,15000000.0,1574,1545,51,-0.0013503067383760063,-0.0006883110475156608,0.0006883110475156608,0.0013503067383760063,lower,-6.666833337500098e-05,0.0012666983341250199,-0.0012666983341250199,6.666833337500098e-05,crossing,-6.66666666666667e-05,0.0012666666666666666,-0.0012666666666666666,6.66666666666667e-05,crossing,cellwise_shared_binary_completion,15
w03_2012m03_m08,primary_oot,objective_matched,0.5,objective_matched_g000_c050,objective_matched_g100_c050,1504,1520,14999625.0,14999625.0,15000000.0,1758,1266,57,0.006159014557670773,0.013759798432250841,-0.013759798432250841,-0.006159014557670773,higher,0.01143028575714393,0.017710442761069027,-0.017710442761069027,-0.01143028575714393,higher,0.01143,0.01771,-0.01771,-0.01143,higher,cellwise_shared_binary_completion,15
w03_2012m03_m08,primary_oot,objective_matched,0.75,objective_matched_g000_c075,objective_matched_g100_c075,1500,1457,14999625.0,14999625.0,15000000.0,1934,1023,55,0.02890597117364447,0.04890825897963852,-0.04890825897963852,-0.02890597117364447,higher,0.015123711426118984,0.0415843729426569,-0.0415843729426569,-0.015123711426118984,higher,0.015123333333333332,0.04158333333333333,-0.04158333333333333,-0.015123333333333332,higher,cellwise_shared_binary_completion,15
w04_2012m04_m09,primary_oot,normalized_score,0.25,normalized_score_g000_c025,normalized_score_g100_c025,1528,1438,14999625.0,14999500.0,15000000.0,2288,678,65,0.08481456939175264,0.11573939226237719,-0.11573939226237719,-0.08481456939175264,higher,0.08510640089968605,0.12451424944967825,-0.12451424944967825,-0.08510640089968605,higher,0.08510166666666666,0.12450833333333335,-0.12450833333333335,-0.08510166666666666,higher,cellwise_shared_binary_completion,15
w04_2012m04_m09,primary_oot,normalized_score,0.5,normalized_score_g000_c050,normalized_score_g100_c050,1482,1441,14999625.0,14999600.0,15000000.0,1931,992,50,0.03339729776049584,0.051613111677394526,-0.051613111677394526,-0.03339729776049584,higher,0.021819413846835816,0.04021658179380386,-0.04021658179380386,-0.021819413846835816,higher,0.021818333333333335,0.040215,-0.040215,-0.021818333333333335,higher,cellwise_shared_binary_completion,15
w04_2012m04_m09,primary_oot,normalized_score,0.75,normalized_score_g000_c075,normalized_score_g100_c075,1461,1445,14999600.0,14999550.0,15000000.0,1674,1232,42,0.01065914468215115,0.019829997465830147,-0.019829997465830147,-0.01065914468215115,higher,0.0043978678201026244,0.011651469312828776,-0.011651469312828776,-0.0043978678201026244,higher,0.004396666666666668,0.011650000000000002,-0.011650000000000002,-0.004396666666666668,higher,cellwise_shared_binary_completion,15
w04_2012m04_m09,primary_oot,objective_matched,0.25,objective_matched_g000_c025,objective_matched_g100_c025,1559,1560,14999625.0,14999625.0,15000000.0,1574,1545,51,-0.0013503067383760063,-0.0006883110475156608,0.0006883110475156608,0.0013503067383760063,lower,-6.666833337500098e-05,0.0012666983341250199,-0.0012666983341250199,6.666833337500098e-05,crossing,-6.66666666666667e-05,0.0012666666666666666,-0.0012666666666666666,6.66666666666667e-05,crossing,cellwise_shared_binary_completion,15
w04_2012m04_m09,primary_oot,objective_matched,0.5,objective_matched_g000_c050,objective_matched_g100_c050,1504,1519,14999625.0,14999625.0,15000000.0,1759,1264,57,0.008898368887706072,0.017139723082094882,-0.017139723082094882,-0.008898368887706072,higher,0.012920323008075201,0.0192938156787253,-0.0192938156787253,-0.012920323008075201,higher,0.012920000000000001,0.019293333333333336,-0.019293333333333336,-0.012920000000000001,higher,cellwise_shared_binary_completion,15
w04_2012m04_m09,primary_oot,objective_matched,0.75,objective_matched_g000_c075,objective_matched_g100_c075,1500,1456,14999625.0,14999625.0,15000000.0,1933,1023,55,0.029858974358974385,0.0498772893772894,-0.0498772893772894,-0.029858974358974385,higher,0.015387051342950242,0.041847712859488156,-0.041847712859488156,-0.015387051342950242,higher,0.015386666666666663,0.04184666666666667,-0.04184666666666667,-0.015386666666666663,higher,cellwise_shared_binary_completion,15
w05_2012m05_m10,primary_oot,normalized_score,0.25,normalized_score_g000_c025,normalized_score_g100_c025,1528,1438,14999625.0,14999525.0,15000000.0,2288,678,65,0.08698272032855403,0.1179075431991786,-0.1179075431991786,-0.08698272032855403,higher,0.08636259136458473,0.1257654004175705,-0.1257654004175705,-0.08636259136458473,higher,0.08635833333333334,0.12575999999999998,-0.12575999999999998,-0.08635833333333334,higher,cellwise_shared_binary_completion,15
w05_2012m05_m10,primary_oot,normalized_score,0.5,normalized_score_g000_c050,normalized_score_g100_c050,1482,1441,14999625.0,14999625.0,15000000.0,1930,993,50,0.03559437749875677,0.05381019141565546,-0.05381019141565546,-0.03559437749875677,higher,0.023320583014575368,0.04171937631774128,-0.04171937631774128,-0.023320583014575368,higher,0.023320000000000004,0.04171833333333333,-0.04171833333333333,-0.023320000000000004,higher,cellwise_shared_binary_completion,15
w05_2012m05_m10,primary_oot,normalized_score,0.75,normalized_score_g000_c075,normalized_score_g100_c075,1461,1444,14999600.0,14999575.0,15000000.0,1673,1232,42,0.010229020080732475,0.019417125977160568,-0.019417125977160568,-0.010229020080732475,higher,0.0041239906108121276,0.011377554737469733,-0.011377554737469733,-0.0041239906108121276,higher,0.004123333333333333,0.011376666666666665,-0.011376666666666665,-0.004123333333333333,higher,cellwise_shared_binary_completion,15
