tail_satisficing_rank,candidate_rank,paper_role,risk_tolerance,gamma,uncertainty_aversion,realized_total_return,return_delta_vs_champion_pct,cvar_95_loss_rate,cvar_delta_vs_champion_pct,entropic_oce_theta5,mean_loss_rate,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,satisficing_pass,min_satisficing_margin,satisficing_shortfall,audit_n_funded,audit_solver_backend,audit_solver_status
1,31,robust_region_policy,0.17,0.55,0.1,167069.47757462133,-1.9916548600175177,0.1968157499999998,-22.579246171804865,-0.0835694670146279,-0.1670694775746475,0.026875,0.1523,True,-0.0,0.0,337,highs,TerminationCondition.optimal
2,20,robust_region_policy,0.16,0.55,0.05,164273.35080211036,-3.631953026706874,0.1968979607309555,-22.54690721131335,-0.0821047630877449,-0.1642733508018371,0.027861,0.137016,True,-0.0,0.0,342,highs,TerminationCondition.optimal
3,17,robust_region_policy,0.155,0.45,0.1,167067.29591823329,-1.992934690034108,0.1970557499999998,-22.484838173873975,-0.0835269647230217,-0.1670672959183653,0.026875,0.153284,True,-0.0,0.0,342,highs,TerminationCondition.optimal
4,32,robust_region_policy,0.17,0.55,0.05,166969.46159398026,-2.0503274607372104,0.1970557499999998,-22.484838173873975,-0.0834746390594157,-0.166969461593887,0.026875,0.152781,True,-0.0,0.0,343,highs,TerminationCondition.optimal
5,21,robust_region_policy,0.16,0.5,0.1,166244.65010111933,-2.4755252645790944,0.1970557499999998,-22.484838173873975,-0.0831040444217096,-0.1662446501011471,0.026875,0.148671,True,-0.0,0.0,341,highs,TerminationCondition.optimal
6,26,robust_region_policy,0.165,0.55,0.05,165547.8905382124,-2.8842669013658884,0.1970557499999998,-22.484838173873975,-0.0827443035522485,-0.1655478905381514,0.026875,0.144817,True,-0.0,0.0,344,highs,TerminationCondition.optimal
7,15,robust_region_policy,0.155,0.5,0.1,164689.02196237698,-3.388106914708639,0.1970557499999998,-22.484838173873975,-0.082301894850758,-0.1646890219624037,0.026875,0.140067,True,-0.0,0.0,346,highs,TerminationCondition.optimal
8,27,robust_region_policy,0.165,0.5,0.1,167692.389704731,-1.6262345095983184,0.1987236263626536,-21.828751223063964,-0.0835019553354872,-0.16769238970446,0.026875,0.157266,True,-0.0,0.0,344,highs,TerminationCondition.optimal
9,14,robust_region_policy,0.155,0.55,0.05,162753.66070085138,-4.523452264701919,0.1993517499999997,-21.5816683270018,-0.0807878479886671,-0.1627536607007726,0.028075,0.128851,True,-0.0,0.0,344,highs,TerminationCondition.optimal
10,4,robust_region_policy,0.16,0.55,0.0,163847.98926196393,-3.8814838281503983,0.2004537499999998,-21.148178269835768,-0.0812857202718335,-0.163895515783193,0.028075,0.138098,True,-0.0,0.0,350,highs,TerminationCondition.optimal
11,25,robust_region_policy,0.165,0.55,0.1,165504.23210778716,-2.90987834505689,0.2018572116529251,-20.5961032497297,-0.081677706029354,-0.1653666671079917,0.027293,0.144453,True,-0.0,0.0,343,highs,TerminationCondition.optimal
12,5,robust_region_policy,0.16,0.5,0.0,163748.62808782174,-3.9397722982540553,0.2023947499999998,-20.384653586569684,-0.0822938133365853,-0.165962628088214,0.028075,0.150322,True,-0.0,0.0,345,highs,TerminationCondition.optimal
13,2,robust_region_policy,0.155,0.5,0.0,162164.37781018534,-4.869144618397633,0.2023947499999998,-20.384653586569684,-0.0814654287780037,-0.1643783778104844,0.028075,0.141875,True,-0.0,0.0,351,highs,TerminationCondition.optimal
14,1,robust_region_policy,0.155,0.55,0.0,162326.28515545817,-4.774164546594208,0.2023947499999998,-20.384653586569684,-0.0804081256415588,-0.1623262851552953,0.028075,0.130655,True,-0.0,0.0,346,highs,TerminationCondition.optimal
15,3,robust_region_policy,0.155,0.45,0.0,166621.64409318674,-2.254368427156536,0.20481637928952,-19.432065365926302,-0.0821208372920303,-0.1666216440930363,0.028075,0.155245,True,-0.0,0.0,344,highs,TerminationCondition.optimal
16,22,robust_region_policy,0.16,0.5,0.05,165517.85855195278,-2.901884633325681,0.2108317499999997,-17.065819092640826,-0.07983597577446,-0.1655178585521693,0.028075,0.148889,True,-0.0,0.0,345,highs,TerminationCondition.optimal
17,16,robust_region_policy,0.155,0.5,0.05,163947.7110439952,-3.8229838138259447,0.2108317499999997,-17.065819092640826,-0.0790317867770713,-0.1639477110441848,0.028075,0.14036,True,-0.0,0.0,346,highs,TerminationCondition.optimal
18,18,robust_region_policy,0.155,0.45,0.05,164022.0917987445,-3.779349663596513,0.2116817499999997,-16.731457433302243,-0.0801349542528505,-0.1662360917987894,0.028075,0.154136,True,-0.0,0.0,347,highs,TerminationCondition.optimal
19,10,robust_region_policy,0.17,0.55,0.0,163897.7680059752,-3.852282011070959,0.2116817499999997,-16.731457433302243,-0.0800690319473513,-0.1661117680058082,0.028075,0.153506,True,-0.0,0.0,347,highs,TerminationCondition.optimal
20,7,robust_region_policy,0.165,0.55,0.0,163116.36710524172,-4.310676987122609,0.2116817499999997,-16.731457433302243,-0.0793081849097237,-0.1646450493798757,0.028075,0.145736,True,-0.0,0.0,350,highs,TerminationCondition.optimal
21,28,robust_region_policy,0.165,0.5,0.05,166777.3884430658,-2.163003767266868,0.2156381451728425,-15.175143486254218,-0.0794860311354021,-0.16677738844227,0.028075,0.157418,True,-0.0,0.0,346,highs,TerminationCondition.optimal
22,19,robust_region_policy,0.16,0.55,0.1,162351.17715355012,-4.759562097507543,0.2171264461078983,-14.589695521265488,-0.077342249947325,-0.1631164552371796,0.028623,0.136535,True,-0.0,0.0,342,highs,TerminationCondition.optimal
23,37,theorem_tight_comparator,0.175,0.55,0.1,166269.82231927008,-2.460758429366147,0.2312557499999998,-9.031698468721952,-0.0760187226893278,-0.1662698223192979,0.026875,0.160299,True,-0.0,0.0,342,highs,TerminationCondition.optimal
24,41,robust_region_policy,0.175,0.5,0.05,168801.31532762162,-0.975702965712392,0.2314957499999998,-8.937290470791053,-0.0772637389940441,-0.1688013153278322,0.026875,0.173665,True,-0.0,0.0,343,highs,TerminationCondition.optimal
25,42,robust_region_policy,0.175,0.5,0.0,168669.5041537059,-1.0530276525072486,0.2314957499999998,-8.937290470791053,-0.0771806432189668,-0.1686695041540769,0.026875,0.17428,True,-0.0,0.0,346,highs,TerminationCondition.optimal
26,29,robust_region_policy,0.165,0.45,0.1,168365.23091736945,-1.2315241486754518,0.2314957499999998,-8.937290470791053,-0.077047861589509,-0.1683652309175472,0.026875,0.171171,True,-0.0,0.0,345,highs,TerminationCondition.optimal
27,30,robust_region_policy,0.165,0.45,0.05,168244.12224854622,-1.3025704007245107,0.2314957499999998,-8.937290470791053,-0.0769851196624198,-0.1682441222486654,0.026875,0.17189,True,-0.0,0.0,347,highs,TerminationCondition.optimal
28,33,robust_region_policy,0.17,0.5,0.1,167226.8353415202,-1.8993437176558423,0.2314957499999998,-8.937290470791053,-0.0764780867612215,-0.1672268353415537,0.026875,0.165327,True,-0.0,0.0,345,highs,TerminationCondition.optimal
29,34,robust_region_policy,0.17,0.5,0.05,167124.6310620346,-1.959300045071384,0.2314957499999998,-8.937290470791053,-0.0764022189444275,-0.1671246310622178,0.026875,0.165864,True,-0.0,0.0,346,highs,TerminationCondition.optimal
30,23,robust_region_policy,0.16,0.45,0.1,166559.14303245154,-2.291033565643095,0.2314957499999998,-8.937290470791053,-0.0761216676147778,-0.1665627755668657,0.026875,0.162606,True,-0.0,0.0,347,highs,TerminationCondition.optimal
31,38,robust_region_policy,0.175,0.55,0.05,166186.4620978511,-2.5096602244180195,0.2314957499999998,-8.937290470791053,-0.0759338616340996,-0.16618646209781,0.026875,0.160699,True,-0.0,0.0,345,highs,TerminationCondition.optimal
32,13,robust_region_policy,0.155,0.55,0.1,160978.00154814168,-5.565111205737463,0.2314957499999998,-8.937290470791053,-0.0733474878115397,-0.1609780015481643,0.029875,0.12825,True,-0.0,0.0,346,highs,TerminationCondition.optimal
