period,original_grade,n,loan_amount,default_rate,coverage_90,coverage_95,avg_width_90,avg_width_95,weighted_miscoverage_90_proxy,loan_amount_share,risk_flag
2018H1,A,26596,388309700.0,0.08756955933223041,0.9225071439314183,0.9372462024364566,0.28382713368962575,0.7551706368703167,0.08654213376590901,0.09224626991285131,False
2018H1,B,31406,476316475.0,0.19747818888110552,0.9032032095777877,0.9527160415207285,0.8513007421866585,0.9795676327579438,0.1023770487888331,0.11315302738197859,False
2018H1,C,29579,467621200.0,0.305723655295987,0.9179823523445688,0.9715000507116536,0.9815342491673185,0.996983894792095,0.08045010576937059,0.11108739089487443,False
2018H1,D,17441,277141675.0,0.3911472965999656,0.9455306461785448,0.9887621122642051,0.9929471121312389,0.9988865080534856,0.04786802634428763,0.065837360632891,False
2018H1,E,4678,78153450.0,0.4523300555793074,0.950406156477127,0.9942283026934587,0.994527075874144,0.998450079080066,0.04357901026762094,0.01856601636096273,False
2018H1,F,949,19064100.0,0.5247629083245522,0.9546891464699684,0.9947312961011591,0.9902445335568061,0.9934305817857294,0.04557912516195362,0.004528839002078982,False
2018H1,G,190,4088375.0,0.5421052631578948,0.9526315789473684,0.9947368421052631,0.9913003736301007,0.9949803553840761,0.02711957684899257,0.0009712282329155142,False
2018H2,A,22996,341310375.0,0.09549486867281266,0.9215515741868151,0.9412941381109758,0.3590019518646569,0.8083026923014912,0.08829199815563767,0.08108118075934363,False
2018H2,B,22332,339084025.0,0.18905606304854022,0.9150994089199355,0.9616245746014688,0.8696505453070961,0.9818010284780407,0.09022218018085636,0.08055229239260832,False
2018H2,C,21614,333278925.0,0.28555565836957525,0.9323123901175164,0.9779309706671602,0.9812152648460005,0.9968946150039418,0.06567974557647172,0.07917324154357959,False
2018H2,D,13515,211399750.0,0.36470588235294116,0.9476137624861265,0.9890492045874953,0.9917317695710467,0.9986930474158515,0.047562733636156145,0.050219807535091934,False
2018H2,E,4907,70149325.0,0.4244956185041777,0.9431424495618504,0.9891991033217852,0.9908777187297575,0.9980750568934007,0.04690957468229381,0.016664568431214385,False
2018H2,F,766,13793000.0,0.5195822454308094,0.9477806788511749,0.9947780678851175,0.9925429774722137,0.997278022869014,0.04754223156673675,0.0032766443921126826,False
2018H2,G,209,3718225.0,0.5454545454545454,0.9521531100478469,1.0,0.9927739665899271,0.9959700082109887,0.041444506451330944,0.0008832959540972362,False
2019H1,A,14376,208774325.0,0.09286310517529216,0.9250834724540902,0.9439343350027825,0.39904898911288034,0.8343713034873731,0.08480113634662692,0.04959611550992247,False
2019H1,B,13295,206491425.0,0.17044001504324935,0.9289206468597218,0.9678074464084242,0.884002750269349,0.9836485756757676,0.07363780360370897,0.04905379321000555,False
2019H1,C,12486,192865275.0,0.26293448662502,0.9354477014255966,0.9765337177638955,0.9811313264002832,0.9969174719030418,0.0648201186035174,0.045816785453637376,False
2019H1,D,8822,139241275.0,0.34810700521423715,0.9469508048061664,0.9886647018816594,0.9905949057320969,0.9985170226073475,0.0473787316296838,0.03307794844336764,False
2019H1,E,1243,18148950.0,0.3805309734513274,0.9533386967015286,0.9919549477071601,0.9904415159322523,0.9984438724483689,0.031102350273707294,0.0043114373406969815,False
2019H1,F,16,154400.0,0.375,1.0,1.0,0.9888362949815592,0.9989437361962206,0.0,3.66790324180525e-05,False
2019H1,G,7,7000.0,0.0,1.0,1.0,0.9780664269377458,0.993806690692155,0.0,1.6629095008184426e-06,False
2019H2,A,6917,94105025.0,0.0571056816538962,0.9501228856440653,0.9602428798612115,0.36978407630812765,0.8218087664297457,0.06315470401288348,0.022355448592465292,False
2019H2,B,7124,105354150.0,0.10401459854014598,0.9519932622122403,0.9783829309376755,0.8672455115716183,0.9806913321330291,0.05296516558673768,0.025027773855093045,False
2019H2,C,5983,87005550.0,0.16262744442587332,0.959384923951195,0.9866287815477185,0.9791264796748507,0.9969337456983445,0.0393859931923883,0.02066890795984772,False
2019H2,D,5136,74783200.0,0.19898753894080998,0.9622274143302181,0.9937694704049844,0.9872942430458144,0.9982108180288238,0.03393308924999198,0.017765384825943677,False
2020,A,1503,19453250.0,0.008649367930805056,0.9940119760479041,0.9966733200266135,0.39389135906356243,0.8335449864438721,0.010185958644442446,0.0046212848923994805,False
2020,B,1154,17524400.0,0.018197573656845753,0.9930675909878682,0.9956672443674177,0.8786754829176652,0.9826745637058694,0.011411232338910319,0.004163070179448959,False
2020,C,906,12431100.0,0.012141280353200883,0.9966887417218543,0.9966887417218543,0.9680368697160534,0.9954999844154442,0.0034791772248634473,0.0029531134708034486,False
2020,D,723,9721525.0,0.017980636237897647,0.9986168741355463,1.0,0.9882940155143031,0.9981844398247045,0.0012343742365523928,0.0023094308978491443,False
