id,issue_d,period,original_grade,sub_grade,term,loan_amnt,int_rate,y_true,allocation_fraction,funded_exposure,portfolio_weight,pd_point,pd_high_alpha01,effective_pd_alpha01,miscovered_alpha01
155506781,2019-07-01,2019H2,D,D2,60,35000.0,20.0,0.0,1.0,35000.0,0.035,0.08291049320073066,0.17669564327753476,0.1251138107352925,False
141624140,2018-10-01,2018H2,D,D1,36,35000.0,17.97,0.0,1.0,35000.0,0.035,0.08291049320073066,0.17669564327753476,0.1251138107352925,False
150670796,2019-04-01,2019H1,B,B5,60,30000.0,13.08,0.0,1.0,30000.0,0.03,0.04951033732317737,0.12329143427002187,0.08271183094925741,False
147304886,2019-02-01,2019H1,C,C3,36,19600.0,15.02,0.0,1.0,19600.0,0.0196,0.06518058690744921,0.14913556660127442,0.10296032776967055,False
157917658,2019-08-01,2019H2,D,D5,36,17000.0,28.8,0.0,1.0,17000.0,0.017,0.1445276673800061,1.0,0.5294902170590033,False
168744464,2020-04-01,2020,C,C4,36,15000.0,19.95,0.0,1.0,15000.0,0.015,0.1036832164058284,0.2073664328116568,0.15034066378845118,False
145133997,2018-12-01,2018H2,C,C3,36,13800.0,15.02,0.0,1.0,13800.0,0.0138,0.05439739413680782,0.1315351223444315,0.08910937183023847,False
163256461,2019-12-01,2019H2,B,B4,60,13000.0,12.4,0.0,1.0,13000.0,0.013,0.04105337825855648,0.10853649514047709,0.07142078085542075,False
141934180,2018-10-01,2018H2,E,E5,36,12025.0,27.27,0.0,1.0,12025.0,0.012025,0.12696250162190215,0.939096799372283,0.4924229356095735,False
157072595,2019-08-01,2019H2,C,C4,60,12000.0,16.95,0.0,1.0,12000.0,0.012,0.1036832164058284,0.2073664328116568,0.15034066378845118,False
144018090,2018-11-01,2018H2,E,E1,36,11450.0,23.4,0.0,1.0,11450.0,0.01145,0.1036832164058284,0.2073664328116568,0.15034066378845118,False
156650503,2019-08-01,2019H2,C,C3,36,11050.0,16.12,0.0,1.0,11050.0,0.01105,0.07884275618374559,0.17050094073610828,0.12008893923230879,False
155037018,2019-07-01,2019H2,D,D5,36,10625.0,28.8,0.0,1.0,10625.0,0.010625,0.1701669822688931,0.914757744630724,0.505232825331717,False
135970364,2018-06-01,2018H1,C,C5,36,10000.0,16.46,0.0,1.0,10000.0,0.01,0.0855479247536578,0.18067599362922637,0.12835555574766366,False
