period,original_grade,n_funded,funded_exposure,exposure_share,weighted_default_rate,weighted_pd_point,weighted_pd_high_alpha01,portfolio_V_contribution
2018H1,C,19,50075.0,0.05007500000001252,0.0,0.0715779016903508,0.15881766706503347,0.0
2018H1,D,21,46800.0,0.0468000000000117,0.06837606837606838,0.09129298992156937,0.1891139028953699,0.0031999999999999997
2018H1,E,2,3000.0,0.0030000000000007503,0.0,0.1036832164058284,0.4206830320805653,0.0
2018H1,F,3,5500.0,0.005500000000001375,0.45454545454545453,0.15440407930709263,0.960940292886833,0.0025
2018H2,B,1,1000.0,0.00100000000000025,0.0,0.04105337825855648,0.10853649514047709,0.0
2018H2,C,34,87700.0,0.08770000000002193,0.034492588369441274,0.07874920600807701,0.16971806043113416,0.003025
2018H2,D,32,112650.0,0.11265000000002817,0.02663115845539281,0.08738991980963311,0.18323313425844692,0.003
2018H2,E,16,52875.0,0.052875000000013224,0.0,0.10506313548781843,0.41202072611798485,0.0
2018H2,F,9,12500.0,0.012500000000003125,0.08,0.1424988433660751,0.8975662468670625,0.001
2018H2,G,2,2000.0,0.0020000000000005,0.0,0.16869970101277487,0.9720555564275847,0.0
2019H1,B,5,37300.0,0.037300000000009326,0.0,0.04721871759957125,0.11916298288817738,0.0
2019H1,C,44,136619.02338768356,0.13661902338771773,0.04538167413484044,0.07715125382927406,0.16749047903131659,0.0062
2019H1,D,42,99100.0,0.09910000000002478,0.050454086781029264,0.10633642218229959,0.42140666099605006,0.005
2019H1,E,6,13300.0,0.013300000000003327,0.0,0.09132240823717554,0.24162518459090807,0.0
2019H1,F,3,3000.0,0.0030000000000007503,0.3333333333333333,0.13861498247888673,0.9504969295183655,0.0
2019H1,G,2,2000.0,0.0020000000000005,0.0,0.17221968441080707,0.9812459307196861,0.0
2019H2,B,2,16500.0,0.016500000000004126,0.0,0.04284727866620334,0.11166633071341082,0.0
2019H2,C,33,93825.0,0.09382500000002346,0.026112443378630428,0.08597421265407033,0.1810486138861763,0.00245
2019H2,D,41,148030.97661206644,0.14803097661210346,0.03715438569599816,0.10876147165514925,0.44189015759173383,0.0025
2020,B,5,18675.0,0.01867500000000467,0.0,0.06689238585834845,0.15044283074199324,0.0
2020,C,14,40600.0,0.040600000000010156,0.0,0.09420713678782516,0.19331607681305701,0.0
2020,D,5,16950.0,0.01695000000000424,0.0,0.12750242104761114,0.7340301936655548,0.0
